"";"nrow1";"nrow2";"size1";"size2";"lv_schema";"cos_schema";"lv_tab";"cos_tab";"col1";"col2";"dist_nrow";"dist_lastused";"dist_size";"decisao"
"45";5;5571;1024;4608;8;0,558058261758408;16;0,320561387140456;19690;38073;3935,75634408432;172800;2534,27070377259;0
"46";93;5571;2048;4608;7;0,841886116991581;7;0,387943627517877;3515;38073;3873,53094733991;0;1810,19335983756;0
"47";601526;5571;398848;4608;7;0,841886116991581;11;0,512911812952948;12330;38073;421403,821782029;86400;278769,777414984;0
"48";8;5571;2048;4608;9;0,432225026042331;12;0,280323681875358;3039;38073;3933,63502374076;3801600;1810,19335983756;0
"49";0;5571;2048;4608;7;0,841886116991581;12;0,356404097065162;1305;38073;3939,29187799026;11145600;1810,19335983756;0
"50";1078131;5571;169984;4608;7;0,841886116991581;18;0,47192131041244;6111;38073;758414,449229443;0;116938,491045506;0
"51";0;5571;2048;4608;7;0,683772233983162;8;0,294976012089367;19527;38073;3939,29187799026;11059200;1810,19335983756;0
"52";2039;5571;2560;4608;9;0,432225026042331;16;0,754023981492764;4932;38073;2497,50115115089;3801600;1448,15468787005;0
"53";475;5571;1280;4608;8;0,558058261758408;11;0,667043954091854;16202;38073;3603,41615692665;0;2353,25136778883;0
"54";5;5571;2048;4608;7;0,841886116991581;8;0,399754952001219;793;38073;3935,75634408432;86400;1810,19335983756;0
"55";0;5571;1024;4608;5;0,469669914110089;9;0,620371698817352;15507;38073;3939,29187799026;16243200;2534,27070377259;0
"56";14;5571;1024;4608;7;0,552786404500042;8;0,647058823529412;19096;38073;3929,39238305364;0;2534,27070377259;0
"57";9;5571;512;4608;8;1;9;0,579915974791597;7839;38073;3932,92791695958;89856000;2896,3093757401;0
"58";6619;5571;2048;4608;9;0,432225026042331;11;0,577799669079251;13437;38073;741,047906683502;259200;1810,19335983756;0
"59";7460898;5571;760832;4608;7;0,841886116991581;8;0,470588235294118;1410;38073;5271712,27766316;0;534731,118496016;0
"60";14920988;5571;3585536;4608;7;0,841886116991581;13;0,363205776090498;5135;38073;10546792,5049251;0;2532098,47174078;0
"61";146292;5571;29696;4608;7;0,683772233983162;7;0,611077765868701;140997;38073;99504,7733553522;172800;17739,8949264081;0
"62";1416;5571;2560;4608;6;0,552786404500042;17;0,485504244572473;17028;38073;2938,0286758301;0;1448,15468787005;0
"63";1389;5571;2048;4608;6;0,552786404500042;16;0,378418439491939;11397;38073;2957,12055892214;0;1810,19335983756;0
"64";169430;5571;60160;4608;7;0,552786404500042;12;0,403441240998695;70242;38073;115865,810058446;8380800;39281,1959084751;0
"65";3;5571;2048;4608;6;0,552786404500042;13;0,467051959900988;9906;38073;3937,1705576467;1382400;1810,19335983756;0
"66";0;5571;2048;4608;9;0,432225026042331;13;0,619478804676405;10045;38073;3939,29187799026;3801600;1810,19335983756;0
"67";1;5571;2048;4608;6;0,552786404500042;16;0,469712186645001;19734;38073;3938,58477120907;0;1810,19335983756;0
"68";0;5571;2048;4608;9;0,432225026042331;13;0,606555262317683;19086;38073;3939,29187799026;3801600;1810,19335983756;0
"69";23773;5571;1792;4608;8;0,558058261758408;17;0,560611970895128;8533;38073;12870,7576311575;172800;1991,21269582132;0
"70";198;5571;2048;4608;6;0,552786404500042;18;0,674604313272016;4883;38073;3799,28473531532;0;1810,19335983756;0
"71";5682;5571;7680;4608;8;0,558058261758408;9;0,566139084362688;76133;38073;78,4888527117068;172800;2172,23203180507;0
"72";0;5571;2048;4608;9;0,432225026042331;22;0,481893703746937;7090;38073;3939,29187799026;3801600;1810,19335983756;0
"73";41;5571;1024;4608;8;0,558058261758408;7;0,46186176480295;11904;38073;3910,30049996161;172800;2534,27070377259;0
"74";111;5571;2048;4608;7;0,841886116991581;9;0,702955737106998;925;38073;3860,80302527855;1296000;1810,19335983756;0
"75";8;5571;2048;4608;9;0,432225026042331;10;0,649929978992998;5052;38073;3933,63502374076;172800;1810,19335983756;0
"76";16567;5571;3584;4608;9;0,432225026042331;13;0,620019702171326;14455;38073;7775,34616592728;172800;724,077343935025;0
