"";"nrow1";"nrow2";"lengthcol1";"lengthcol2";"fk1";"fk2";"size1";"size2";"lv_schema";"cos_schema";"lv_tab";"cos_tab";"lv_col";"cos_col";"lv_type";"cos_type";"lv_null";"cos_null";"lv_fk";"cos_fk";"dist_nrow";"dist_length";"dist_lastused";"dist_size";"decisao"
"5480030";0;10464;8;4;0;0;2048;2560;0;0;14;0,239391269425836;16;0,365254550457992;6;0,798992436948158;1;1;0;0;7399,16535833603;2,82842712474619;4665600;362,038671967512;0
"5480031";0;10464;8;10;0;0;2048;2560;0;0;14;0,239391269425836;14;0,385081306187558;8;0,832751597998582;1;1;0;0;7399,16535833603;1,4142135623731;4665600;362,038671967512;0
"5480032";0;10464;8;1;0;0;2048;2560;0;0;14;0,239391269425836;14;0,336596527996223;5;0,143651161422325;0;0;0;0;7399,16535833603;4,94974746830583;4665600;362,038671967512;0
"5480033";0;3764445;8;10;0;0;2048;315904;0;0;9;0,576340727131838;14;0,527544408738466;8;0,832751597998582;1;1;0;0;2661864,58690379;1,4142135623731;11059200;221929,705916085;0
"5480034";0;3764445;8;1;0;0;2048;315904;0;0;9;0,576340727131838;14;0,410631041510694;5;0,143651161422325;1;1;0;0;2661864,58690379;4,94974746830583;11059200;221929,705916085;0
"5480035";0;3764445;8;4;0;0;2048;315904;0;0;9;0,576340727131838;14;0,367544467966324;6;0,798992436948158;1;1;0;0;2661864,58690379;2,82842712474619;11059200;221929,705916085;0
"5480036";0;52495;8;4;0;0;2048;8192;0;0;6;0,371029097966849;15;0,465477516175151;6;0,798992436948158;1;1;0;0;37119,5704783878;2,82842712474619;11145600;4344,46406361015;0
"5480037";0;52495;8;50;0;0;2048;8192;0;0;6;0,371029097966849;14;0,469669914110089;0;0;1;1;0;0;37119,5704783878;29,698484809835;11145600;4344,46406361015;0
"5480038";0;52495;8;100;0;0;2048;8192;0;0;6;0,371029097966849;15;0,396977310844473;0;0;1;1;0;0;37119,5704783878;65,0538238691624;11145600;4344,46406361015;0
"5480039";0;7460898;8;4;0;1;2048;760832;0;0;9;0,46186176480295;16;0,64278274584412;6;0,798992436948158;1;1;1;1;5275651,56954115;2,82842712474619;11145600;536541,311855853;0
"5480040";0;7460898;8;4;0;1;2048;760832;0;0;9;0,46186176480295;15;0,465477516175151;6;0,798992436948158;1;1;1;1;5275651,56954115;2,82842712474619;11145600;536541,311855853;0
"5480041";0;0;8;4;0;0;2048;2048;0;0;7;0,407000546671119;16;0,574789967864619;6;0,798992436948158;1;1;0;0;0;2,82842712474619;4665600;0;0
"5480042";0;0;8;4;0;1;2048;2048;0;0;7;0,407000546671119;15;0,386565338986023;6;0,798992436948158;1;1;1;1;0;2,82842712474619;4665600;0;0
"5480043";0;0;8;2000;0;0;2048;2048;0;0;7;0,407000546671119;16;0,646446609406726;0;0;1;1;0;0;0;1408,5567081236;4665600;0;0
"5480044";0;0;8;10;0;0;2048;2048;0;0;7;0,407000546671119;18;0,605879609315959;8;0,832751597998582;1;1;0;0;0;1,4142135623731;4665600;0;0
"5480045";0;0;8;11;0;0;2048;2048;0;0;7;0,407000546671119;16;0,331846895218939;0;0;1;1;0;0;0;2,12132034355964;4665600;0;0
"5480046";0;111;8;6;0;0;2048;2048;0;0;10;0,490475334634932;15;0,494818514459077;0;0;1;1;0;0;78,4888527117068;1,4142135623731;9849600;0;0
"5480047";0;111;8;200;0;0;2048;2048;0;0;10;0,490475334634932;15;0,549306090567001;0;0;1;1;0;0;78,4888527117068;135,764501987817;9849600;0;0
"5480048";0;4;8;150;0;0;2048;2048;0;0;14;0,366056918599738;16;0,478713964857313;0;0;1;1;0;0;2,82842712474619;100,40916292849;6393600;0;0
"5480049";0;74;8;2;0;0;2048;2048;0;0;11;0,45205097047461;15;0,618999618999428;7;0,809307482150882;1;1;0;0;52,3259018078045;4,24264068711928;11145600;0;0
"5480050";0;74;8;100;0;0;2048;2048;0;0;11;0,45205097047461;15;0,625772400408126;0;0;1;1;0;0;52,3259018078045;65,0538238691624;11145600;0;0
"5480051";0;33;8;1;0;0;2048;2048;0;0;11;0,528271823475137;15;0,423977890538709;5;0,143651161422325;0;0;0;0;23,3345237791561;4,94974746830583;11145600;0;0
"5480052";0;33;8;2;0;0;2048;2048;0;0;11;0,528271823475137;14;0,5;7;0,809307482150882;1;1;0;0;23,3345237791561;4,24264068711928;11145600;0;0
"5480053";0;33;8;50;0;0;2048;2048;0;0;11;0,528271823475137;21;0,420933975856414;0;0;1;1;0;0;23,3345237791561;29,698484809835;11145600;0;0
"5480054";0;33;8;1;0;0;2048;2048;0;0;11;0,528271823475137;17;0,397783698589775;5;0,143651161422325;1;1;0;0;23,3345237791561;4,94974746830583;11145600;0;0
"5480055";0;40;8;2;0;0;2048;2048;0;0;17;0,359487384779651;22;0,48274631962352;7;0,809307482150882;1;1;0;0;28,2842712474619;4,24264068711928;10627200;0;0
"5480056";0;40;8;100;0;0;2048;2048;0;0;17;0,359487384779651;22;0,496491185021987;0;0;1;1;0;0;28,2842712474619;65,0538238691624;10627200;0;0
"5480057";0;40;8;1;0;0;2048;2048;0;0;17;0,359487384779651;17;0,397783698589775;5;0,143651161422325;1;1;0;0;28,2842712474619;4,94974746830583;10627200;0;0
"5480058";0;13;8;100;0;0;2048;2048;0;0;12;0,260399738366361;16;0,40625;0;0;1;1;0;0;9,19238815542512;65,0538238691624;11145600;0;0
"5480059";0;1;8;2;0;0;2048;2048;0;0;14;0,333826612473509;15;0,389699896594949;7;0,809307482150882;1;1;0;0;0,707106781186548;4,24264068711928;6393600;0;0
"5480060";0;1;8;100;0;0;2048;2048;0;0;14;0,333826612473509;15;0,402385695332803;0;0;1;1;0;0;0,707106781186548;65,0538238691624;6393600;0;0
"5480061";0;1;8;1;0;0;2048;2048;0;0;14;0,333826612473509;17;0,397783698589775;5;0,143651161422325;1;1;0;0;0,707106781186548;4,94974746830583;6393600;0;0
"5480062";0;15;8;4;0;0;2048;2048;0;0;8;0,349556364412009;15;0,458333333333333;6;0,798992436948158;1;1;0;0;10,6066017177982;2,82842712474619;5529600;0;0
"5480063";0;15;8;150;0;0;2048;2048;0;0;8;0,349556364412009;15;0,5;0;0;1;1;0;0;10,6066017177982;100,40916292849;5529600;0;0
"5480064";0;15;8;1;0;0;2048;2048;0;0;8;0,349556364412009;17;0,397783698589775;5;0,143651161422325;1;1;0;0;10,6066017177982;4,94974746830583;5529600;0;0
"5480065";0;1;8;2;0;0;2048;2048;0;0;12;0,468914995456206;15;0,364999364999048;7;0,809307482150882;1;1;0;0;0,707106781186548;4,24264068711928;6393600;0;0
"5480066";0;1;8;100;0;0;2048;2048;0;0;12;0,468914995456206;15;0,396749396749095;0;0;1;1;0;0;0,707106781186548;65,0538238691624;6393600;0;0
"5480067";0;1;8;1;0;0;2048;2048;0;0;12;0,468914995456206;17;0,397783698589775;5;0,143651161422325;1;1;0;0;0,707106781186548;4,94974746830583;6393600;0;0
"5480068";0;6;8;4;0;0;2048;2048;0;0;11;0,61170986264234;14;0,469669914110089;6;0,798992436948158;1;1;0;0;4,24264068711928;2,82842712474619;11145600;0;0
"5480069";0;6;8;4;0;0;2048;2048;0;0;11;0,61170986264234;12;0,410631041510694;6;0,798992436948158;0;0;0;0;4,24264068711928;2,82842712474619;11145600;0;0
"5480070";0;0;8;2;0;0;2048;2048;0;0;12;0,475857581639041;14;0,432069860936098;7;0,809307482150882;1;1;0;0;0;4,24264068711928;4665600;0;0
"5480071";0;0;8;100;0;0;2048;2048;0;0;12;0,475857581639041;14;0,445299803774771;0;0;1;1;0;0;0;65,0538238691624;4665600;0;0
"5480072";0;1;8;100;0;0;2048;2048;0;0;12;0,452847096894936;16;0,611550701966322;0;0;1;1;0;0;0,707106781186548;65,0538238691624;6393600;0;0
"5480073";0;1;8;1;0;0;2048;2048;0;0;12;0,452847096894936;17;0,397783698589775;5;0,143651161422325;1;1;0;0;0,707106781186548;4,94974746830583;6393600;0;0
"5480074";0;33300538;8;1;0;0;2048;3028992;0;0;7;0,394594485403319;18;0,413032155906305;5;0,143651161422325;1;1;0;0;23547036,2369603;4,94974746830583;0;2140372,62867193;0
"5480075";0;33300538;8;8;0;0;2048;3028992;0;0;7;0,394594485403319;15;0,384542545103336;7;1;1;1;0;0;23547036,2369603;0;0;2140372,62867193;0
"5480076";0;40336190;8;10;0;0;2048;3288064;0;0;13;0,401678877457537;14;0,385081306187558;8;0,832751597998582;0;0;0;0;28521993,476229;1,4142135623731;9158400;2323564,19668749;0
"5480077";0;5571;8;1;0;0;2048;3072;0;0;8;0,394594485403319;16;0,552786404500042;0;0;1;1;0;0;3939,29187799026;4,94974746830583;11145600;724,077343935025;0
"5480078";0;5571;8;40;0;0;2048;3072;0;0;8;0,394594485403319;14;0,498514112623201;0;0;0;0;0;0;3939,29187799026;22,6274169979695;11145600;724,077343935025;0
"5480079";0;5571;8;2;0;1;2048;3072;0;0;8;0,394594485403319;17;0,734834957055045;0;0;1;1;1;1;3939,29187799026;4,24264068711928;11145600;724,077343935025;0
"5480080";0;5571;8;1;0;0;2048;3072;0;0;8;0,394594485403319;15;0,705372174505605;0;0;1;1;0;0;3939,29187799026;4,94974746830583;11145600;724,077343935025;0
"5480081";0;1263655463;8;2;0;0;2048;85774336;0;0;9;0,45205097047461;16;0,476885625652813;7;0,809307482150882;0;0;0;0;893539346,970726;4,24264068711928;9590400;60650166,4826855;0
"5480082";0;1263655463;8;4;0;0;2048;85774336;0;0;9;0,45205097047461;17;0,566987298107781;6;0,798992436948158;0;0;0;0;893539346,970726;2,82842712474619;9590400;60650166,4826855;0
"5480083";0;1263655463;8;8;0;0;2048;85774336;0;0;9;0,45205097047461;16;0,555499555499333;7;1;1;1;0;0;893539346,970726;0;9590400;60650166,4826855;0
"5480084";0;1263655463;8;10;0;0;2048;85774336;0;0;9;0,45205097047461;15;0,543564535412362;8;0,832751597998582;0;0;0;0;893539346,970726;1,4142135623731;9590400;60650166,4826855;0
"5480085";0;1263655463;8;10;0;0;2048;85774336;0;0;9;0,45205097047461;16;0,693813782152103;8;0,832751597998582;0;0;0;0;893539346,970726;1,4142135623731;9590400;60650166,4826855;0
"5480086";0;1263655463;8;2;0;0;2048;85774336;0;0;9;0,45205097047461;16;0,441947660346179;7;0,809307482150882;0;0;0;0;893539346,970726;4,24264068711928;9590400;60650166,4826855;0
"5480087";0;1263655463;8;40;0;0;2048;85774336;0;0;9;0,45205097047461;16;0,50970966215454;0;0;0;0;0;0;893539346,970726;22,6274169979695;9590400;60650166,4826855;0
"5480088";0;1263655463;8;8;0;0;2048;85774336;0;0;9;0,45205097047461;14;0,331576077223039;7;1;0;0;0;0;893539346,970726;0;9590400;60650166,4826855;0
